datetime,Guanyuan,Nongzhanguan,Huairou,Dongsi,Wanshouxigong,Tiantan,Dingling,Wanliu,Gucheng,Aotizhongxin,Changping,Shunyi
2014-05-21,106,100,92,112,100,99,75,112,122,115,94,90
2014-05-22,130,125,108,130,118,114,73,137,147,148,111,125
2014-05-23,91,92,87,87,89,81,55,95,127,101,79,92
2014-05-24,68,60,45,70,64,65,32,66,76,72,49,49
2014-05-25,74,85,61,82,64,67,55,71,79,83,58,80
2014-05-26,44,49,33,45,51,43,33,48,75,52,32,42
2014-05-27,86,85,51,98,81,78,48,99,111,70,77,73
2014-05-28,62,61,47,63,63,53,46,65,80,31,42,46
2014-05-29,77,81,40,71,72,69,43,88,103,35,39,62
2014-05-30,115,123,29,55,114,114,77,128,128,88,84,81
2014-05-31,124,135,37,64,124,122,76,139,142,148,101,133
2014-06-01,44,55,44,41,49,47,56,38,49,46,47,54
2014-06-02,40,43,52,35,41,37,40,34,43,35,37,43
2014-06-03,42,44,59,40,42,39,50,35,46,35,48,45
2014-06-04,52,61,57,65,58,52,52,54,81,35,46,60
2014-06-05,56,63,57,70,75,55,58,81,71,42,54,59
2014-06-06,55,59,39,59,55,51,30,65,66,34,38,51
2014-06-07,22,24,26,25,27,23,30,33,24,21,29,28
2014-06-08,33,50,24,45,38,37,27,53,36,18,25,24
2014-06-09,30,36,29,37,34,34,37,34,33,24,26,32
2014-06-10,47,55,32,53,49,50,30,47,55,46,40,48
2014-06-11,32,32,29,30,33,29,27,35,41,27,32,29
2014-06-12,34,42,35,36,35,34,40,36,41,29,41,35
2014-06-13,53,65,39,60,54,52,47,52,54,35,46,43
2014-06-14,53,50,43,45,50,49,48,42,48,43,41,47
2014-06-15,84,112,64,96,88,94,59,95,92,68,58,86
2014-06-16,85,96,97,89,82,83,57,87,89,81,61,100
2014-06-17,59,55,49,56,54,58,45,54,59,50,48,49
2014-06-18,47,44,43,46,48,53,35,46,51,37,36,41
2014-06-19,83,85,56,82,78,87,48,82,80,80,65,76
2014-06-20,34,37,44,32,36,36,38,30,37,30,29,37
2014-06-21,42,39,49,39,36,41,42,42,43,41,46,47
2014-06-22,31,34,36,30,32,31,35,26,35,28,35,35
2014-06-23,36,37,34,34,36,34,34,47,34,32,34,38
2014-06-24,49,62,59,51,52,52,56,58,62,39,56,53
2014-06-25,76,73,74,63,68,76,63,79,80,61,69,78
2014-06-26,81,79,75,85,81,89,50,84,92,74,64,75
2014-06-27,26,30,31,30,31,30,30,32,37,26,32,27
2014-06-28,27,31,31,29,34,33,33,40,43,23,33,27
2014-06-29,53,56,47,42,65,65,51,63,75,39,51,52
2014-06-30,66,71,73,51,77,75,68,81,93,50,64,72
2014-07-01,82,82,81,74,85,94,79,99,107,65,81,105
2014-07-02,35,37,40,38,39,42,38,38,40,37,41,38
2014-07-03,107,122,126,129,110,123,95,108,106,124,110,137
2014-07-04,117,108,98,136,113,124,91,121,102,118,103,117
2014-07-05,70,71,130,79,67,72,83,71,76,73,87,113
2014-07-06,111,115,133,133,114,126,111,121,130,125,134,124
2014-07-07,99,104,101,108,102,107,98,110,119,98,97,89
2014-07-08,65,65,97,64,71,81,47,71,82,58,55,47
2014-07-09,33,36,40,19,36,33,24,46,59,17,25,21
2014-07-10,42,51,36,31,51,48,40,58,80,31,39,35
2014-07-11,45,46,30,30,47,46,31,46,64,26,30,29
2014-07-12,31,33,32,29,32,32,38,26,37,26,40,33
2014-07-13,33,37,27,25,32,41,30,37,35,20,29,27
2014-07-14,36,45,47,36,41,36,45,46,49,36,44,45
2014-07-15,73,75,65,47,68,78,61,83,95,47,59,66
2014-07-16,69,73,66,77,64,76,57,69,67,67,57,71
2014-07-17,79,79,71,96,82,91,67,81,90,80,70,78
2014-07-18,77,80,102,85,74,81,91,93,105,78,94,96
2014-07-19,51,48,73,42,51,53,64,65,119,40,71,70
2014-07-20,46,47,64,40,46,47,55,49,66,38,49,54
2014-07-21,24,27,26,24,28,27,32,26,42,24,26,28
2014-07-22,20,18,21,13,22,23,24,29,29,10,16,18
2014-07-23,52,40,38,15,54,45,31,57,79,17,23,40
2014-07-24,69,79,40,42,73,65,54,79,85,42,48,55
2014-07-25,50,55,43,48,51,50,76,53,58,44,48,47
2014-07-26,81,81,78,66,83,78,98,90,98,61,70,84
2014-07-27,88,86,97,66,90,84,86,98,118,65,89,94
2014-07-28,83,80,91,72,84,76,87,96,115,74,93,85
2014-07-29,80,83,112,75,79,81,80,90,100,71,77,102
2014-07-30,72,73,78,83,67,75,58,78,76,78,64,79
2014-07-31,112,108,117,127,109,115,113,120,117,126,123,114
2014-08-01,85,77,90,96,83,89,95,102,104,96,104,85
2014-08-02,76,67,76,72,70,70,87,101,107,72,87,69
2014-08-03,75,77,59,78,75,87,66,92,72,71,70,68
2014-08-04,28,25,20,25,25,15,19,31,26,23,21,20
2014-08-05,29,25,27,22,24,22,29,33,38,19,29,29
2014-08-06,43,36,28,22,42,30,31,45,54,22,30,38
2014-08-07,65,56,50,44,56,58,53,68,69,46,53,49
2014-08-08,58,54,65,40,58,52,53,64,73,40,56,63
2014-08-09,70,66,68,51,78,61,59,85,85,51,68,80
2014-08-10,41,43,49,38,40,41,41,34,46,37,40,41
2014-08-11,35,31,30,28,32,33,34,34,36,26,35,29
2014-08-12,35,38,34,39,37,34,41,43,45,32,40,36
2014-08-13,23,22,24,23,23,19,22,25,25,18,21,23
2014-08-14,26,29,34,28,27,28,29,27,34,25,28,32
2014-08-15,36,46,38,32,42,35,37,50,57,28,36,50
2014-08-16,56,68,50,47,57,60,54,65,69,39,53,53
2014-08-17,49,54,54,50,49,52,58,53,62,48,59,50
2014-08-18,46,52,53,41,46,45,57,57,68,55,56,46
2014-08-19,68,66,74,61,65,60,59,85,83,78,65,70
2014-08-20,82,77,82,81,76,72,83,101,116,90,87,81
2014-08-21,95,101,86,104,100,95,86,113,117,103,88,98
2014-08-22,48,51,35,55,54,46,28,56,58,50,34,45
2014-08-23,82,92,60,97,96,80,45,88,93,90,47,78
2014-08-24,25,30,31,26,27,26,28,30,32,25,26,31
2014-08-25,25,26,22,24,26,23,28,31,40,24,28,24
2014-08-26,34,38,29,44,45,30,31,51,58,49,31,31
2014-08-27,63,68,49,78,84,56,51,79,82,76,52,50
2014-08-28,67,70,64,76,77,66,55,78,68,82,50,78
2014-08-29,45,49,60,54,54,48,46,48,49,54,47,54
2014-08-30,91,87,62,99,98,86,73,97,94,94,72,62
2014-08-31,45,44,37,51,50,49,38,43,41,43,38,41
2014-09-01,68,57,44,72,63,61,44,60,72,64,46,52
2014-09-02,21,25,25,23,26,20,20,13,27,19,15,43
2014-09-03,20,21,26,22,21,21,24,23,36,21,26,33
2014-09-04,50,48,41,58,76,44,33,60,88,61,53,46
2014-09-05,80,84,65,93,82,77,76,88,92,96,74,85
2014-09-06,89,85,91,90,91,88,102,94,109,94,91,85
2014-09-07,98,99,102,109,108,95,91,107,121,116,94,107
2014-09-08,27,31,28,28,27,28,28,23,30,24,29,26
2014-09-09,43,53,44,56,60,48,41,48,64,56,41,51
2014-09-10,62,66,56,65,64,55,60,72,93,85,60,65
2014-09-11,78,84,52,84,87,77,60,88,86,90,61,55
2014-09-12,45,46,51,48,49,44,43,46,49,51,54,58
2014-09-13,48,56,51,53,55,46,50,62,68,70,53,55
2014-09-14,44,44,35,50,50,43,24,50,57,53,25,36
2014-09-15,24,40,16,30,34,25,18,35,45,32,16,21
2014-09-16,48,60,38,60,68,54,21,62,67,65,36,60
2014-09-17,42,37,58,42,50,36,68,60,77,58,70,48
2014-09-18,56,58,41,54,57,40,36,58,71,60,49,43
2014-09-19,64,83,59,72,72,55,49,72,92,86,59,69
2014-09-20,81,88,60,87,88,81,54,82,92,87,59,71
2014-09-21,70,75,66,69,73,62,64,77,91,74,71,64
2014-09-22,68,77,57,70,70,69,54,69,79,73,58,57
2014-09-23,31,32,24,32,34,36,16,25,30,29,21,28
2014-09-24,23,26,18,26,30,23,16,23,31,23,18,16
2014-09-25,75,76,55,73,77,72,52,79,91,76,55,62
2014-09-26,80,82,70,80,82,83,61,78,85,79,68,78
2014-09-27,23,32,25,28,25,26,27,30,42,39,24,30
2014-09-28,59,80,48,65,65,58,45,65,87,68,56,48
2014-09-29,46,50,28,52,48,46,26,49,53,52,34,35
2014-09-30,28,33,31,28,27,25,25,32,44,37,30,28
2014-10-01,58,73,37,65,62,64,34,57,57,62,42,48
2014-10-02,44,33,21,38,42,38,18,33,34,36,25,29
2014-10-03,71,80,28,79,76,67,47,62,63,66,46,44
2014-10-04,51,44,35,41,44,49,48,48,48,49,48,35
2014-10-05,24,18,17,19,19,17,19,20,20,19,17,15
2014-10-06,21,27,15,27,18,17,20,29,36,33,21,12
2014-10-07,93,113,64,111,97,89,59,106,123,112,67,76
2014-10-08,175,191,124,189,162,154,143,166,168,172,147,143
2014-10-09,227,209,162,215,185,176,209,212,201,206,216,172
2014-10-10,191,191,155,165,161,156,201,208,197,189,206,152
2014-10-11,123,120,112,94,92,98,115,143,141,135,131,100
2014-10-12,12,15,22,15,16,14,22,9,21,30,17,20
2014-10-13,10,16,19,23,22,11,17,10,15,10,15,12
2014-10-14,43,60,29,54,62,48,35,50,51,55,36,38
2014-10-15,52,73,29,72,68,65,21,65,72,64,48,48
2014-10-16,51,62,39,55,65,50,28,67,89,72,44,45
2014-10-17,109,118,78,119,109,94,74,119,129,125,90,96
2014-10-18,138,176,88,163,150,137,76,152,163,170,100,127
2014-10-19,177,195,172,197,179,161,182,224,192,213,192,160
2014-10-20,122,129,120,123,123,108,157,153,151,127,166,116
2014-10-21,29,30,44,29,36,27,32,26,34,30,27,29
2014-10-22,80,97,63,85,83,79,68,95,94,107,75,83
2014-10-23,100,119,93,112,105,106,95,112,120,123,101,98
2014-10-24,155,174,126,175,107,151,134,171,176,173,127,142
2014-10-25,196,217,157,214,156,171,182,208,194,202,167,171
2014-10-26,46,49,33,56,30,46,24,41,45,49,29,40
2014-10-27,18,33,16,32,14,14,27,26,16,30,38,17
2014-10-28,52,71,55,54,56,51,57,70,73,76,70,57
2014-10-29,89,120,67,102,101,85,61,115,110,108,78,79
2014-10-30,108,157,87,122,122,112,98,93,117,118,101,101
2014-10-31,87,114,81,102,107,93,80,105,99,98,91,95
2014-11-01,40,40,36,47,50,49,15,49,43,39,27,49
2014-11-02,15,17,24,17,19,17,23,19,20,14,22,17
2014-11-03,28,30,19,35,36,30,18,37,44,27,27,30
2014-11-04,86,102,69,99,118,80,56,107,79,93,76,93
2014-11-05,41,60,51,53,52,48,35,49,41,46,47,60
2014-11-06,16,21,21,16,18,16,23,15,18,16,21,17
2014-11-07,34,47,26,42,44,37,35,44,43,40,39,42
2014-11-08,46,50,37,53,54,45,46,58,46,49,54,54
2014-11-09,41,45,27,41,44,38,25,52,43,39,49,39
2014-11-10,49,53,29,53,60,49,36,62,54,48,57,37
2014-11-11,34,50,27,46,46,51,28,44,34,42,48,40
2014-11-12,22,25,28,33,25,26,26,26,33,22,24,30
2014-11-13,21,26,24,29,34,29,20,27,29,25,23,28
2014-11-14,27,39,25,36,37,33,21,47,49,38,30,37
2014-11-15,87,140,65,116,110,101,59,104,88,105,83,96
2014-11-16,66,85,57,71,87,60,25,54,46,60,40,75
2014-11-17,19,21,17,23,25,25,19,31,37,20,23,20
2014-11-18,54,71,32,63,80,77,50,92,84,60,87,51
2014-11-19,168,232,113,206,194,181,123,190,166,190,145,149
2014-11-20,192,268,179,224,230,209,181,236,223,238,200,201
2014-11-21,156,118,77,145,200,162,59,169,167,145,109,101
2014-11-22,36,33,25,28,29,23,20,34,53,38,40,35
2014-11-23,96,94,74,88,92,82,87,111,131,108,107,96
2014-11-24,54,68,43,53,58,53,21,72,83,66,46,50
2014-11-25,108,125,77,115,120,104,78,127,140,119,95,93
2014-11-26,163,210,135,186,198,169,147,194,189,186,165,164
2014-11-27,58,74,39,58,65,56,41,92,75,67,57,40
2014-11-28,78,94,69,85,96,76,79,105,109,92,87,77
2014-11-29,174,229,146,207,217,193,137,194,170,199,148,184
2014-11-30,121,135,140,140,131,142,125,163,152,143,166,148
2014-12-01,34,51,46,48,38,47,39,44,38,46,45,62
2014-12-02,34,38,17,38,44,34,21,45,51,31,30,22
2014-12-03,26,38,23,40,41,38,22,34,32,38,27,27
2014-12-04,18,24,27,22,23,18,24,17,24,18,21,22
2014-12-05,27,34,19,31,38,31,19,36,42,28,23,21
2014-12-06,43,59,40,47,54,45,32,57,54,54,72,43
2014-12-07,34,45,48,41,41,35,37,62,49,43,49,51
2014-12-08,41,47,26,45,54,41,48,63,65,53,43,45
2014-12-09,171,230,90,208,207,186,114,175,136,194,123,131
2014-12-10,113,153,105,142,141,134,97,138,126,138,123,135
2014-12-11,20,24,19,23,24,19,22,24,22,23,21,18
2014-12-12,17,28,19,24,24,29,26,20,28,25,32,22
2014-12-13,38,45,45,46,51,45,31,51,58,71,40,47
2014-12-14,61,81,53,71,76,72,48,98,89,82,64,75
2014-12-15,51,85,43,74,70,79,50,66,77,85,64,85
2014-12-16,19,20,25,24,22,25,20,19,23,18,20,14
2014-12-17,60,81,47,71,77,72,45,72,81,41,67,67
2014-12-18,94,118,84,112,118,111,86,129,110,40,103,89
2014-12-19,22,40,36,36,30,44,22,23,22,39,29,32
2014-12-20,13,13,18,12,15,18,16,7,16,38,13,10
2014-12-21,14,21,17,23,21,22,22,18,21,37,32,21
2014-12-22,69,83,45,79,99,84,19,85,81,37,39,56
2014-12-23,58,81,41,72,79,80,39,82,68,36,72,46
2014-12-24,12,21,20,17,17,22,19,16,15,35,25,15
2014-12-25,21,22,31,20,28,24,20,30,39,34,19,22
2014-12-26,83,112,59,110,114,107,58,106,82,33,70,78
2014-12-27,126,164,107,112,159,139,101,165,145,32,130,133
2014-12-28,109,146,77,94,140,137,57,129,123,31,82,74
2014-12-29,97,133,58,120,151,132,43,123,78,30,82,66
2014-12-30,27,49,17,42,45,56,23,40,29,29,31,24
2014-12-31,19,36,22,30,28,39,25,29,21,29,35,30
2015-01-01,28,39,25,35,42,33,36,40,34,36,30,28
2015-01-02,42,48,35,47,58,48,42,60,49,50,52,33
2015-01-03,105,140,88,130,146,126,96,116,104,117,97,101
2015-01-04,117,146,93,123,137,126,96,135,116,132,140,104
2015-01-05,71,101,85,91,91,82,82,119,95,97,103,86
2015-01-06,24,33,19,29,32,24,18,28,38,33,23,41
2015-01-07,41,61,30,51,53,54,32,57,57,45,57,38
2015-01-08,92,124,71,102,111,97,78,104,96,102,99,85
2015-01-09,55,77,39,61,61,61,21,62,51,58,33,50
2015-01-10,114,136,50,129,166,149,29,112,90,99,65,55
2015-01-11,25,29,26,27,32,28,29,34,48,27,31,29
2015-01-12,75,67,75,62,77,60,92,112,103,83,103,76
2015-01-13,98,129,80,101,107,97,78,112,92,119,92,99
2015-01-14,126,157,101,139,145,137,133,132,126,136,154,100
2015-01-15,192,208,173,196,221,203,197,219,188,196,210,208
2015-01-16,51,84,67,65,69,74,46,65,58,68,43,118
2015-01-17,42,42,24,41,46,40,28,48,53,41,35,29
2015-01-18,58,91,52,70,73,70,53,71,70,62,68,57
2015-01-19,38,50,44,42,51,41,36,46,54,40,46,30
2015-01-20,57,69,63,63,65,56,55,81,67,65,64,63
2015-01-21,12,17,23,16,16,14,23,15,19,14,16,27
2015-01-22,64,84,52,72,79,75,40,78,65,77,52,84
2015-01-23,123,154,104,139,141,137,126,147,118,130,142,122
2015-01-24,52,61,52,56,53,53,65,72,60,58,117,70
2015-01-25,75,73,104,81,82,74,87,77,79,66,82,93
2015-01-26,60,73,58,67,82,61,43,64,58,52,47,68
2015-01-27,13,19,17,16,20,16,20,14,17,14,13,15
2015-01-28,20,35,25,23,30,22,22,25,34,19,31,26
2015-01-29,41,47,54,45,48,44,30,46,51,39,43,53
2015-01-30,13,23,18,17,18,21,25,11,16,20,19,19
2015-01-31,23,26,19,23,27,22,20,28,34,27,16,17
2015-02-01,50,61,27,57,64,53,32,66,61,54,46,44
2015-02-02,81,101,62,102,95,93,83,88,87,89,83,88
2015-02-03,63,69,73,74,71,61,62,69,69,68,87,77
2015-02-04,18,26,20,22,23,25,27,18,25,29,24,20
2015-02-05,20,23,26,19,26,21,27,22,28,21,20,17
2015-02-06,49,54,36,53,64,53,23,54,56,51,31,39
2015-02-07,19,29,26,20,23,25,33,15,24,31,26,21
2015-02-08,19,21,21,19,21,21,24,21,25,27,18,16
2015-02-09,72,83,46,82,84,90,50,79,68,73,57,67
2015-02-10,79,95,51,93,95,96,40,88,81,94,87,57
2015-02-11,29,44,25,38,39,36,30,28,30,43,24,25
2015-02-12,19,27,25,21,25,23,24,22,28,27,25,21
2015-02-13,78,86,63,91,92,78,65,84,87,83,70,76
2015-02-14,142,170,117,179,159,155,127,136,133,147,126,145
2015-02-15,180,189,146,208,201,181,186,188,167,176,162,163
2015-02-16,84,87,89,91,98,81,81,105,104,87,84,84
2015-02-17,21,21,25,22,27,22,28,31,34,22,25,27
2015-02-18,36,32,33,38,45,35,30,39,40,32,27,29
2015-02-19,123,122,170,132,164,132,136,168,182,129,165,162
2015-02-20,80,80,72,93,82,80,94,83,95,70,83,79
2015-02-21,148,159,130,173,166,161,165,160,142,152,151,172
2015-02-22,138,158,154,158,160,157,170,161,145,190,218,202
2015-02-23,70,59,62,65,87,66,50,80,79,74,61,51
2015-02-24,129,127,110,128,150,126,107,147,132,141,114,116
2015-02-25,52,53,63,51,56,53,41,65,59,58,50,66
2015-02-26,19,22,24,19,24,26,30,15,28,23,23,20
2015-02-27,20,20,25,19,26,21,18,22,20,23,24,22
2015-02-28,87,84,73,101,91,86,79,82,79,73,71,67
2015-03-01,44,48,97,60,54,46,36,47,48,49,41,78
2015-03-02,47,54,32,65,53,50,32,51,43,62,50,47
2015-03-03,27,26,29,35,28,29,32,29,26,41,29,28
2015-03-04,24,19,24,24,30,22,24,25,25,27,24,23
2015-03-05,79,73,78,86,96,81,57,82,85,89,72,81
2015-03-06,130,123,116,136,136,123,117,146,158,134,129,110
2015-03-07,137,149,143,161,152,141,135,148,142,152,147,141
2015-03-08,81,80,83,93,82,77,75,91,89,84,75,91
2015-03-09,22,24,30,25,30,30,31,20,25,29,26,27
2015-03-10,28,21,24,27,32,27,28,32,45,27,21,20
2015-03-11,31,35,25,37,35,39,26,43,31,40,23,34
2015-03-12,54,51,41,57,56,51,36,61,65,65,49,53
2015-03-13,47,46,44,45,46,41,25,58,74,49,48,40
2015-03-14,69,60,67,71,73,63,62,83,78,78,71,66
2015-03-15,114,111,105,123,125,110,103,131,134,124,111,110
2015-03-16,171,160,164,208,181,168,164,195,187,179,178,161
2015-03-17,125,141,109,185,144,142,92,139,127,145,103,121
2015-03-18,37,39,60,57,51,38,51,44,57,51,55,53
2015-03-19,116,118,105,171,139,112,104,135,132,128,117,114
2015-03-20,106,116,105,139,123,111,112,125,128,119,120,127
2015-03-21,53,64,46,64,61,59,67,61,71,61,68,65
2015-03-22,60,64,48,70,70,65,48,66,70,72,52,59
2015-03-23,50,49,56,53,59,42,26,58,59,60,36,55
2015-03-24,67,69,74,75,76,71,59,70,77,81,73,79
2015-03-25,92,86,90,94,101,85,84,99,106,104,95,91
2015-03-26,80,91,86,118,95,80,81,91,96,103,99,92
2015-03-27,75,88,88,110,90,75,82,86,95,94,100,83
2015-03-28,125,130,88,141,138,124,105,130,162,139,145,112
2015-03-29,161,168,137,247,194,169,160,158,151,183,165,154
2015-03-30,192,188,197,244,211,177,195,215,204,212,205,188
2015-03-31,98,95,105,100,103,87,131,105,106,101,123,98
2015-04-01,37,37,36,42,40,36,52,44,50,42,49,38
2015-04-02,25,24,24,26,28,26,32,19,28,27,21,24
2015-04-03,32,32,33,29,33,36,44,21,34,36,34,31
2015-04-04,40,41,40,55,45,40,34,41,50,45,37,43
2015-04-05,54,56,39,78,57,51,42,52,72,59,48,57
2015-04-06,20,28,32,27,31,33,31,21,28,30,29,14
2015-04-07,23,26,28,31,28,31,32,25,29,29,27,23
2015-04-08,70,68,65,92,74,65,52,77,77,82,60,71
2015-04-09,104,104,97,132,110,99,93,118,108,113,93,96
2015-04-10,97,104,90,123,103,98,65,122,94,106,72,95
2015-04-11,86,95,69,100,90,90,62,88,81,95,74,85
2015-04-12,29,27,31,25,29,32,32,20,30,28,27,26
2015-04-13,38,37,39,33,36,41,40,26,39,37,36,31
2015-04-14,50,46,42,64,57,47,34,58,59,59,48,43
2015-04-15,143,134,128,162,129,127,108,160,151,188,123,157
2015-04-16,77,79,73,77,114,79,73,81,79,92,81,93
2015-04-17,108,108,85,119,111,100,69,123,118,120,83,103
2015-04-18,150,158,107,163,161,154,104,162,159,177,125,139
2015-04-19,66,67,81,69,74,66,43,74,67,71,64,62
2015-04-20,58,68,62,66,70,66,38,77,80,87,47,63
2015-04-21,82,73,64,79,78,76,66,60,98,92,74,71
2015-04-22,66,65,48,37,61,53,48,81,64,80,52,58
2015-04-23,78,66,52,47,68,65,57,76,66,72,55,56
2015-04-24,111,102,70,75,101,99,63,101,108,129,56,103
2015-04-25,114,99,70,99,100,96,74,102,112,117,70,78
2015-04-26,127,106,92,111,113,104,100,114,125,126,81,101
2015-04-27,87,77,73,78,74,76,73,83,84,90,70,75
2015-04-28,43,38,34,40,47,39,36,43,47,43,38,36
2015-04-29,89,77,81,78,77,74,72,79,87,94,80,79
2015-04-30,86,80,98,80,76,75,86,82,96,95,88,95
2015-05-01,86,81,80,83,78,80,80,78,79,91,81,71
2015-05-02,39,35,45,37,35,34,49,43,37,46,48,40
2015-05-03,57,60,34,66,48,58,70,56,43,65,63,42
2015-05-04,38,36,41,38,39,40,33,37,46,52,32,37
2015-05-05,61,53,51,64,58,59,56,57,67,63,52,48
2015-05-06,45,42,44,45,41,41,39,36,46,47,32,36
2015-05-07,88,70,71,74,73,76,60,73,87,85,66,62
2015-05-08,68,59,42,59,63,65,36,53,57,63,40,40
2015-05-09,27,27,29,28,28,25,26,29,29,31,26,30
2015-05-10,28,26,26,25,26,26,18,25,27,30,19,25
2015-05-11,17,18,15,17,17,22,23,17,20,19,19,19
2015-05-12,25,31,28,26,26,28,32,26,32,47,30,28
2015-05-13,96,99,67,85,74,80,72,80,94,93,64,76
2015-05-14,49,45,41,43,41,52,39,38,40,48,37,35
2015-05-15,34,34,33,31,34,38,37,34,37,34,31,29
2015-05-16,67,64,40,61,58,53,39,59,61,64,43,45
2015-05-17,135,115,107,105,106,104,99,112,124,115,99,92
2015-05-18,51,60,37,63,49,66,37,49,56,60,54,57
2015-05-19,30,35,28,30,34,32,34,33,36,36,31,27
2015-05-20,33,35,27,31,37,34,35,37,36,35,28,26
2015-05-21,59,50,38,49,50,45,41,51,88,58,43,40
2015-05-22,65,54,54,49,51,46,49,50,77,63,52,52
2015-05-23,95,86,70,75,79,74,69,87,108,98,72,74
2015-05-24,114,98,81,85,93,86,86,101,124,111,88,84
2015-05-25,114,98,90,84,93,89,93,98,134,112,90,87
2015-05-26,101,85,82,74,85,80,88,84,120,100,85,70
2015-05-27,87,81,80,69,99,83,72,79,105,92,75,73
2015-05-28,93,87,86,74,86,83,93,81,108,87,93,74
2015-05-29,58,54,58,47,48,48,42,61,63,66,47,52
2015-05-30,59,53,47,47,49,47,40,54,67,64,39,43
2015-05-31,69,61,55,51,62,58,55,54,77,68,60,51
2015-06-01,113,112,81,91,99,100,85,92,108,114,88,89
2015-06-02,36,36,31,38,37,41,30,36,47,33,33,36
2015-06-03,69,50,51,50,60,56,48,62,79,66,47,44
2015-06-04,61,45,51,44,49,48,27,55,87,53,30,58
2015-06-05,44,44,40,38,37,38,30,46,48,44,41,45
2015-06-06,33,37,28,34,32,35,25,34,37,39,25,32
2015-06-07,19,20,19,21,18,19,20,22,25,24,22,19
2015-06-08,27,28,23,27,25,23,31,29,31,29,44,23
2015-06-09,64,61,32,48,58,64,51,52,66,57,44,44
2015-06-10,50,50,32,49,50,51,41,56,60,44,50,46
2015-06-11,22,23,19,24,24,22,30,24,28,25,22,18
2015-06-12,25,28,23,27,28,27,31,30,32,32,24,15
2015-06-13,31,34,24,34,34,36,37,35,35,33,29,27
2015-06-14,35,33,37,36,35,37,40,38,38,37,34,32
2015-06-15,72,78,66,72,71,69,60,70,93,79,58,76
2015-06-16,84,91,74,97,87,82,73,77,97,91,76,77
2015-06-17,40,48,23,43,38,37,52,44,50,45,44,41
2015-06-18,24,31,6,28,30,22,34,27,30,30,25,21
2015-06-19,21,23,25,21,22,20,23,21,24,25,18,19
2015-06-20,34,38,43,36,35,36,40,35,35,40,30,30
2015-06-21,46,53,62,51,47,49,54,47,63,51,48,46
2015-06-22,68,69,81,72,69,65,64,71,82,76,61,75
2015-06-23,119,124,102,127,118,118,106,120,112,129,108,130
2015-06-24,73,73,93,75,70,67,103,78,83,78,89,78
2015-06-25,75,82,80,84,70,70,85,83,79,83,90,77
2015-06-26,65,63,51,68,70,72,56,65,71,61,59,62
2015-06-27,56,57,49,58,54,57,47,54,57,55,52,53
2015-06-28,87,91,82,93,86,89,89,89,90,92,90,92
2015-06-29,75,70,55,76,74,74,69,74,83,72,71,57
2015-06-30,20,21,17,20,22,21,25,19,25,25,17,15
2015-07-01,22,23,17,23,25,23,23,25,28,26,17,18
2015-07-02,17,23,15,20,19,17,31,18,26,24,22,18
2015-07-03,38,40,27,38,35,37,40,37,44,43,33,26
2015-07-04,33,34,35,33,29,27,34,37,40,38,35,34
2015-07-05,46,44,41,46,43,42,53,47,45,51,44,38
2015-07-06,50,47,48,48,45,50,59,49,55,56,49,47
2015-07-07,50,51,50,50,48,52,62,52,55,54,50,51
2015-07-08,80,79,75,84,80,81,77,78,85,86,81,84
2015-07-09,52,51,49,53,54,50,63,58,66,54,53,49
2015-07-10,49,45,42,45,48,48,54,50,70,57,46,39
2015-07-11,76,73,69,78,74,72,66,74,73,80,63,75
2015-07-12,92,98,68,104,90,92,74,100,103,101,68,83
2015-07-13,57,61,56,57,53,57,54,56,59,71,54,48
2015-07-14,50,62,62,53,55,60,42,57,59,73,49,49
2015-07-15,41,36,43,40,39,39,32,43,47,41,31,38
2015-07-16,30,36,34,30,32,30,29,33,39,44,24,31
2015-07-17,34,22,22,29,26,28,21,27,31,30,24,22
2015-07-18,34,33,35,34,31,31,31,42,41,45,38,31
2015-07-19,48,40,35,51,47,49,34,43,44,47,37,31
2015-07-20,60,48,36,60,57,56,39,57,58,57,44,43
2015-07-21,85,72,75,86,78,80,82,85,86,85,86,76
2015-07-22,42,38,36,40,37,38,28,44,42,43,36,45
2015-07-23,32,29,30,35,28,28,27,28,34,30,25,40
2015-07-24,46,49,34,51,45,46,29,39,43,49,35,42
2015-07-25,64,64,50,69,62,61,44,61,71,69,47,53
2015-07-26,74,80,62,83,73,74,44,70,58,84,46,80
2015-07-27,60,55,59,56,53,52,57,65,73,61,58,53
2015-07-28,47,44,21,38,46,41,25,43,47,46,32,34
2015-07-29,60,64,40,68,61,64,32,53,57,64,38,63
2015-07-30,33,37,21,31,35,28,26,34,34,36,32,32
2015-07-31,38,40,19,37,39,37,28,38,39,39,30,33
2015-08-01,47,48,41,51,47,43,36,41,44,65,41,53
2015-08-02,48,39,35,46,43,43,39,50,55,51,40,35
2015-08-03,46,38,31,48,45,46,28,45,51,39,30,40
2015-08-04,34,37,36,33,35,33,51,33,45,34,38,34
2015-08-05,64,63,45,66,62,56,50,59,76,71,37,58
2015-08-06,49,45,43,47,50,44,33,46,55,51,34,42
2015-08-07,63,62,66,62,56,57,58,60,66,61,57,51
2015-08-08,36,42,31,37,38,34,38,34,43,35,30,31
2015-08-09,51,51,38,52,52,45,51,46,58,50,46,40
2015-08-10,41,42,34,46,46,39,40,41,51,46,40,32
2015-08-11,79,75,54,80,77,75,58,73,82,84,56,60
